scenario	participant	archive	takes	minutes	proficiency	gender	university	captures	cameras	tasks
cpr	106	expert106_takes.tar	2	4.0	unlabelled	male	nus	nus_cpr_25	cam01;cam02;cam03;cam04	First Aid - CPR
cpr	120	expert120_takes.tar	2	3.1	unlabelled	male	nus	nus_cpr_01	cam01;cam02;cam03;cam04	First Aid - CPR
cpr	124	expert124_takes.tar	2	1.8	unlabelled	female	nus	nus_cpr_06	cam01;cam02;cam03;cam04	First Aid - CPR
cpr	126	expert126_takes.tar	2	2.0	unlabelled	female	nus	nus_cpr_16	cam01;cam02;cam03;cam04	First Aid - CPR
cpr	128	expert128_takes.tar	2	2.4	unlabelled	female	nus	nus_cpr_20	cam01;cam02;cam03;cam04	First Aid - CPR
cpr	793	expert793_takes.tar	2	2.6	unlabelled	male	nus	nus_cpr_34	cam01;cam03;cam04;cam05	First Aid - CPR
cpr	800	expert800_takes.tar	2	2.4	unlabelled	male	nus	nus_cpr_41	cam01;cam02;cam03;cam04;cam05	First Aid - CPR
cpr	803	expert803_takes.tar	2	2.9	unlabelled	male	nus	nus_cpr_42	cam01;cam02;cam03;cam04;cam05	First Aid - CPR
cpr	809	expert809_takes.tar	2	2.6	unlabelled	male	nus	nus_cpr_30	cam01;cam02;cam03;cam04	First Aid - CPR
cpr	812	expert812_takes.tar	2	2.1	unlabelled	male	nus	nus_cpr_38	cam01;cam03;cam04;cam05	First Aid - CPR
cpr	814	expert814_takes.tar	2	1.6	unlabelled	male	nus	nus_cpr_40	cam01;cam02;cam03;cam04;cam05	First Aid - CPR
cpr	817	expert817_takes.tar	2	1.9	unlabelled	male	nus	nus_cpr_39	cam01;cam02;cam03;cam04;cam05	First Aid - CPR
cpr	818	expert818_takes.tar	2	2.2	unlabelled	female	nus	nus_cpr_33	cam01;cam02;cam03;cam04;cam05	First Aid - CPR
cpr	826	expert826_takes.tar	2	2.4	unlabelled	female	nus	nus_cpr_31	cam01;cam02;cam03;cam04;cam05	First Aid - CPR
cpr	94	expert94_takes.tar	1	1.4	unlabelled	male	nus	nus_cpr_49	cam01;cam02;cam03;cam04	First Aid - CPR
cpr	121	expert121_takes.tar	1	1.2	unlabelled	male	nus	nus_cpr_02	cam01;cam02;cam03;cam04	First Aid - CPR
cpr	633	expert633_takes.tar	1	1.1	unlabelled	male	utokyo	utokyo_cpr_2005_22	cam01;cam02;cam03;cam04	First Aid - CPR
cpr	634	expert634_takes.tar	1	1.5	unlabelled	male	utokyo	utokyo_cpr_2005_23	cam01;cam02;cam03;cam04	First Aid - CPR
cpr	635	expert635_takes.tar	1	1.5	unlabelled	female	utokyo	utokyo_cpr_2005_24	cam01;cam02;cam03;cam04	First Aid - CPR
cpr	636	expert636_takes.tar	1	2.0	unlabelled	female	utokyo	utokyo_cpr_2005_25	cam01;cam02;cam03;cam04	First Aid - CPR
cpr	637	expert637_takes.tar	1	1.3	unlabelled	male	utokyo	utokyo_cpr_2005_26	cam01;cam02;cam03;cam04	First Aid - CPR
cpr	638	expert638_takes.tar	1	1.5	unlabelled	male	utokyo	utokyo_cpr_2005_27	cam01;cam02;cam03;cam04	First Aid - CPR
cpr	639	expert639_takes.tar	1	2.1	unlabelled	female	utokyo	utokyo_cpr_2005_28	cam01;cam02;cam03;cam04	First Aid - CPR
cpr	640	expert640_takes.tar	1	1.5	unlabelled	male	utokyo	utokyo_cpr_2005_29	cam01;cam02;cam03;cam04	First Aid - CPR
cpr	641	expert641_takes.tar	1	1.3	unlabelled	female	utokyo	utokyo_cpr_2005_30	cam01;cam02;cam03;cam04	First Aid - CPR
cpr	642	expert642_takes.tar	1	1.7	unlabelled	male	utokyo	utokyo_cpr_2005_31	cam01;cam02;cam03;cam04	First Aid - CPR
cpr	643	expert643_takes.tar	1	3.1	unlabelled	female	utokyo	utokyo_cpr_2005_32	cam01;cam02;cam03;cam04	First Aid - CPR
cpr	644	expert644_takes.tar	1	1.3	unlabelled	female	utokyo	utokyo_cpr_2005_33	cam01;cam02;cam03;cam04	First Aid - CPR
cpr	645	expert645_takes.tar	1	1.5	unlabelled	female	utokyo	utokyo_cpr_2005_34	cam01;cam02;cam03;cam04	First Aid - CPR
cpr	646	expert646_takes.tar	1	1.4	unlabelled	male	utokyo	utokyo_cpr_2005_35	cam01;cam02;cam03;cam04	First Aid - CPR
cpr	647	expert647_takes.tar	1	1.6	unlabelled	male	utokyo	utokyo_cpr_2005_36	cam01;cam02;cam03;cam04	First Aid - CPR
